"","species","water.potential","fresh.weight","inv.water.potential","saturated.water.content","relative.water.content","relative.water.deficit","osm.pot.fullturgor","max.psip","osmotic.potential","pressure.potential","apoplastic.fraction","sym.rwc","sym.rwd","relative.water.deficit.attlp","relative.water.content.attlp","sym.rwd.attlp","sym.rwc.attlp","leaf.waterpotential.attlp","modulus","modulus_sym","cap.ft.bulk","cap.ft.sym","cap.tlp.bulk","cap.tlp.sym"
"29","plra_cs",-1.00965217391304,2.98964934782609,1.78314085145384,3.43423381477197,86.7507496400561,13.2492503599439,-1.09993209478049,1.09993209478049,-1.35540175495889,0.345749581045848,15.6624870739223,82.4404999524902,17.5595000475098,9.59559824575731,90.4044017542427,11.9096624913086,88.0903375086914,-1.24462931131035,12.0817971678838,9.97517328581305,0.111151440969941,0.144517236628017,0.321849656930489,0.39645479298708
"30","plra_gj",-1.91705769230769,1.79633692307692,1.07677995184241,2.39563962217261,74.9216622044418,25.0783377955582,-1.576762844057,1.576762844057,-2.21486122296033,0.297803530652638,-12.5526077126184,78.0273829064845,21.9726170935155,13.8922787358764,86.1077212641236,12.3513276183626,87.6486723816374,-1.79592808155966,12.7547780794305,13.5601293474554,0.0729921079149217,0.0668796263856978,0.224511369932756,0.198105887449516
"31","pril",-1.99392727272727,0.216327045454545,1.15787963818444,0.290100586767585,73.7369033819359,26.2630966180641,-1.71865815009905,1.71865815009905,-2.35035959809264,0.356432325365362,-27.6340614345338,79.3539091354214,20.6460908645786,13.2960100497526,86.7039899502474,10.6724593185908,89.3275406814092,-1.92870801465354,12.9784712033502,16.7096153694091,0.0743962802455408,0.0597667252688792,0.267781759488664,0.207866593833534
"32","quag",-2.80840740740741,0.12392962962963,0.847715784713989,0.143918779229443,85.7843150624592,14.2156849375408,-2.52091896267734,2.52091896267734,-3.51750266598387,0.709095258576466,34.7023955526268,75.8716129455597,24.1283870544403,23.8027265378421,76.1972734621579,37.66839784524,62.33160215476,-10.9737217396365,16.4684773964577,10.8859242351694,0.0497172082785138,0.0881649182715028,NA,NA
"33","quag_gj",-2.72570952380952,0.12374219047619,0.637579624737418,0.167722766420448,72.9295835529754,27.0704164470246,-2.29048428987246,2.29048428987246,-3.25830571900938,0.532596195199861,-17.5624464871961,74.4129532631675,25.5870467368325,26.7679007493669,73.2320992506331,25.1424593479582,74.8575406520418,-3.08697556622284,9.54403173331589,10.7639028739829,0.0857478773240834,0.0793068402979026,0.21550939617564,0.17012628503694
"34","qube",-2.59216363636364,0.0451736363636364,0.772547848694446,0.0729400351355926,59.8304269311605,40.1695730688395,-1.51371794317892,1.51371794317892,-2.9282745389271,0.336110902563462,-0.03584514932533,59.1549011244141,40.8450988755859,40.1834242719659,59.8165757280341,40.9166793149552,59.0833206850448,-2.79005852244718,4.39753706931265,4.51411579673944,0.148208591171519,0.150011914642517,NA,NA
"35","quen",-2.28801886792453,0.0773845283018867,0.650472879366298,0.11603777795056,65.1314506371376,34.8685493628624,-1.8457377114319,1.8457377114319,-2.66410619072567,0.376087322801146,-32.4959855695883,73.3412865603865,26.6587134396135,29.7817678152965,70.2182321847035,22.3173583120651,77.6826416879349,-2.37435871053977,6.54929352078882,8.53409163685669,0.124825108985246,0.0947585274588941,0.253395556106751,0.191288310369786
"36","rain_mb",-1.46362450980392,1.10079509803922,2.35097761638755,1.20302805101819,91.919546479437,8.08045352056301,-1.8356170654356,1.8356170654356,-2.29053171863437,0.826907208830452,52.7784506011843,82.2755308169634,17.7244691830366,19.1310543387041,80.8689456612959,43.4557290656251,56.5442709343749,-0.183367260251246,12.7468730434656,5.83649155692331,NA,NA,NA,NA
"37","rhin",-2.30094230769231,0.197180692307692,1.04522819989312,0.267744212514311,74.0833463312029,25.9166536687971,-1.84171045195881,1.84171045195881,-2.85416479594735,0.55322248825504,4.25584823533052,70.2906368850818,29.7093631149182,34.623900033463,65.376099966537,40.5041749634672,59.4958250365328,-1.33822668574673,8.16920403268276,8.35043533442072,NA,NA,0.151006689463692,0.162513776644928
"38","roco",-1.2274367816092,0.907694252873563,1.86963909190652,1.06162484696209,85.4839159471968,14.5160840528032,-1.57978469082768,1.57978469082768,-1.83133890781907,0.603902126209875,-26.9308946517146,86.5652279345782,13.4347720654218,48.4340814473172,51.5659185526828,46.326398662409,53.673601337591,-1.09812605726178,4.71631159746413,6.03921061072032,NA,NA,NA,NA
"39","ruac",-1.5200701754386,1.14487543859649,1.35615455277576,1.24407158769908,91.6360140899659,8.36398591003411,-1.3625784750398,1.3625784750398,-1.87310337962236,0.353033204183763,64.0015238277854,75.0441390244925,24.9558609755076,8.8238316166139,91.1761683833861,25.8372875513702,74.1627124486298,-1.82597800785639,16.2082385775566,5.72694834709302,0.0521122041522969,0.162448008034245,0.112647758120703,0.30822085422691
"40","saap",-0.96487037037037,0.512977592592593,2.4068063842823,0.616012960590137,83.278483839414,16.721516160586,-0.895315210676283,0.895315210676283,-1.12501027615205,0.160139905781682,9.58694716700597,81.4036545751428,18.5963454248572,10.6596690767208,89.3403309232793,11.9014780890992,88.0985219109008,-1.01549016819527,8.46569087121962,7.62734801763674,0.106718593381275,0.117315490828484,0.551566434463545,0.617263630233838
"41","saca",-0.971071428571429,0.516253571428571,1.37932730250753,0.610319473299449,84.7711150715761,15.2288849284239,-0.97601433524977,0.97601433524977,-1.2287950022329,0.257723573661469,17.1874766967539,81.594047293199,18.405952706801,13.9050699222706,86.0949300777294,16.5469248720238,83.4530751279762,-1.17531639082579,7.69887878989694,6.27432123858237,0.139021357721627,0.168165731148673,0.357253952840014,0.432430770583668
"42","sale",-1.27508064516129,0.0587814516129032,1.69265466447989,0.0985113844992911,59.8137314268787,40.1862685731213,-0.985796822154473,0.985796822154473,-1.57293628815336,0.29785564299207,-26.2578258504895,67.6398882756465,32.3601117243535,53.4194206524249,46.5805793475751,43.392265906449,56.607734093551,-2.46424612756866,2.43758220735827,3.06312455281269,0.280581509908849,0.224243927467967,NA,NA
"43","same",-1.00464583333333,0.138628125,1.6081061237762,0.156796539298545,88.3640082507081,11.6359917492919,-1.040980034107,1.040980034107,-1.19858248561777,0.193936652284435,3.99278625135914,87.8773666085681,12.1226333914319,6.46355075358822,93.5364492464118,6.81399406627797,93.186005933722,-1.11772757467452,16.3652004607697,15.7096388499544,0.0757288384870754,0.0796702405965715,0.599414171746825,0.618296804971445
"44","umca",-2.20635064935065,0.250138337662338,0.728556906653784,0.30964827413585,80.4365697075343,19.5634302924657,-2.45331828779587,2.45331828779587,-2.99454033692076,0.788189687570108,-35.5005744224724,84.9576089630461,15.0423910369539,16.4921649799904,83.5078350200096,12.4547161454869,87.5452838545131,-2.80464235702158,15.6275170879495,21.4097420481026,0.0702478726728118,0.0533916485559633,0.284877900906137,0.206554139434321
"45","vica",-1.0399756097561,0.965979024390244,2.53053927438903,1.19613797866827,80.774060343909,19.225939656091,-0.798798081438962,0.798798081438962,-1.21299204483765,0.17301643508155,32.0865333438744,68.9399836113317,31.0600163886683,15.4339414709881,84.5660585290119,25.5246999901984,74.4753000098017,-1.03808864093069,5.79727195492173,4.58913160076992,0.186307902122281,0.345513368656413,0.257783560245254,0.403263750040092
"46","vigi",-1.1329875,1.243229125,2.13915436313173,1.39185487251584,89.0184725235315,10.9815274764685,-1.05168024896161,1.05168024896161,-1.4131795503463,0.280192050346303,51.6544197502291,77.0624541975716,22.9375458024284,12.5773765782808,87.4226234217192,25.8227897725348,74.1772102274652,-1.42942975491922,10.9604692485357,4.72418771591147,0.0869275849027526,0.177994178418203,0.21750916136247,0.436811927405874
