"unique_id","leaf","saturated.water.content","osm.pot.fullturgor","apoplastic.fraction","relative.water.deficit.attlp","relative.water.content.attlp","sym.rwd.attlp","sym.rwc.attlp","leaf.waterpotential.attlp","modulus","modulus_sym","cap.ft.bulk","cap.ft.sym","cap.tlp.bulk","cap.tlp.sym"
"enfa_gj_2",2,0.36061202959798,-1.76590332687923,-11.2767504619791,19.0977960944754,80.9022039055246,17.1624315188829,82.8375684811171,-2.13176624961146,9.24663410449792,10.2893539585944,0.129136716273735,0.116050042562896,0.246451268626153,0.221475975532157
"enfa_gj_4",4,1.96940623746248,-1.0204323860621,77.4850383763167,3.97461925265937,96.0253807473406,17.6532357420432,82.3467642579568,-1.23918941473587,25.6737141646799,5.78042689155181,0.0322259216726402,0.143131141910285,0.0632791949846607,0.281053976650344
"enfa_gj_5",5,0.371806876960372,-1.24613374846715,6.41887476307267,12.0226684624474,87.9773315375526,12.847321970118,87.152678029882,-1.42982840761346,10.3648682683002,9.69956035480052,0.120582491264588,0.128853431671503,0.27366773113054,0.292439025965623
"enfa_gj_6",6,0.384568670540201,-1.39833041228074,16.1853471635857,16.0018867830132,83.9981132169869,19.0919919626046,80.9080080373954,-1.72829667445827,8.73853459434007,7.3241724332361,0.101203115248297,0.120746327549457,0.18138450956827,0.216411454835097
"frdi_2",2,0.0998649486555516,-1.87572332580103,-35.654170758265,23.7167557514702,76.2832442485299,17.483248483184,82.516751516816,-2.27314247267572,7.90885290322542,10.7286888223614,0.104548547485616,0.0770699101260371,0.414494938410236,0.305552668298613
"frdi_3",3,0.0880174312111374,-1.79805052487346,-62.3248576118949,28.9519137237891,71.0480862762109,17.8357856890968,82.1642143109032,-2.18836209894222,6.21047210221565,10.081139996948,0.14385800099043,0.0886235189772241,0.560148521102422,0.345078707810538
"frdi_4",4,0.0849980165157808,-1.46077871371591,-20.8188296247662,21.577856411667,78.4221435883331,17.8596800504379,82.1403199495621,-1.77839423393151,6.76980458970002,8.17919867315926,0.166289422364109,0.137635352767912,0.282962163949989,0.234203695590166
"frdi_5",5,0.113371937811573,-1.89444822037407,7.38470758336651,18.5900784543295,81.4099215456705,20.0723638281045,79.9276361718955,-2.37020423861879,10.1906413414456,9.43809227751017,0.0789006036101068,0.085191766447348,0.288553627142632,0.311561535480083
"frdi_6",6,0.112501874391999,-1.48318168196098,-11.9015974905875,29.2209733757434,70.7790266242566,26.1130976063155,73.8869023936845,-2.00736752240375,5.07574358625638,5.67983815754692,0.170680104971594,0.152526960114176,0.541614289020877,0.484009434330403
"hear_1",1,0.279260321160047,-2.3385571393489,14.852016046135,11.5350328475354,88.4649671524646,13.5470416466764,86.4529583533236,-2.70500533919438,20.2735195491754,17.2624931726155,0.0610061759808139,0.071647234788164,0.0738543229263783,0.0867364316768723
"hear_2",2,0.367304324480668,-1.85907178308237,36.9470720990265,8.69317407502555,91.3068259249744,13.7871061097725,86.2128938902275,-2.15637325137174,21.3854199517672,13.4841334235082,0.0533100977500812,0.0845481717102912,0.136771999318371,0.216916174825657
"hear_3",3,0.345379558281018,-2.58341515423376,5.19137735261691,10.4301649772627,89.5698350227373,11.0012830964279,88.9987169035721,-2.90275550492804,24.7686892763967,23.4828531507618,0.0497159080984091,0.052438171455475,0.145000512295248,0.152940216033452
"hear_4",4,0.413780470882852,-2.17542058992615,31.5769002817051,11.6674173778917,88.3325826221083,17.0518690704274,82.9481309295726,-2.62262761746037,18.645262438698,12.7576665111681,0.0555375198324685,0.0811677928376854,0.112974061847964,0.165110996597772
"hear_5",5,0.360325859896134,-2.79779220890603,3.5536033671207,12.1749575782429,87.8250424217571,12.6235484199442,87.3764515800558,-3.20199797349591,22.9798928737606,22.1632786268379,0.0548505319946858,0.0568715202533413,0.154176137829405,0.159856814989441
"hear_6",6,0.378965817592053,-2.5887354803465,6.68233061279048,16.834218617495,83.165781382505,18.0396903695094,81.9603096304906,-3.15852330477708,15.3778178789727,14.3502212472669,0.0690468224579053,0.0739911561350771,0.115286013901095,0.123541462895661
"heca_1",1,1.08384012032499,-2.17469248098667,38.9132262247038,12.1296721698388,87.8703278301612,19.8564622424766,80.1435377575234,-2.71349698532934,17.9286995603574,10.952064141288,0.0642816528697642,0.10523006683283,0.099125919021269,0.162270673167153
"heca_2",2,1.50341094292909,-2.50527474917398,9.29091452865698,11.952119989898,88.047880010102,13.176320682534,86.823679317466,-2.88547406521852,20.960923679577,19.0134621760904,0.0585972565879529,0.0645991041398659,0.209073212726742,0.230487620551298
